City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Rikitea,PF,78.49,clear sky,-23.1203,-134.9692,People ThankYou
16,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
17,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
35,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Maracaibo,VE,82.56,overcast clouds,10.6317,-71.6406,Motel Aladdin
45,Grajau,BR,75.72,overcast clouds,-5.8194,-46.1386,Hotel Confiança
51,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
56,Lorengau,PG,82.49,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
61,Butaritari,KI,81.63,few clouds,3.0707,172.7902,Isles Sunset Lodge
64,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Ugoofaaru,MV,83.93,overcast clouds,5.6667,73.0,Ungoofaaru Inn
68,Kibala,TD,83.8,broken clouds,9.1104,18.3463,hotel safari
74,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
75,San Patricio,US,88.16,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
77,Atuona,PF,79.75,clear sky,-9.8,-139.0333,Villa Enata
82,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
87,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
93,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
98,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
102,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
109,Le Port,RE,77.0,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
111,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
116,Nabire,ID,76.8,moderate rain,-3.3667,135.4833,Hotel Nusantara I
119,Abu Zabad,SD,86.97,clear sky,12.35,29.25,حامد محمد نور
121,Kavieng,PG,84.63,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
123,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
125,Touros,BR,79.84,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
127,Dhadar,IN,81.64,clear sky,28.3305,75.0632,ढाढर
130,Moindou,NC,76.73,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
134,Voh,NC,75.79,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
136,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
138,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
157,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
159,Veraval,IN,79.36,clear sky,20.9,70.3667,Lords Inn Somnath
161,Carutapera,BR,77.02,moderate rain,-1.195,-46.02,Lidera
163,Savannah Bight,HN,81.16,clear sky,16.45,-85.85,Villa on Dunbar Rock
164,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
166,Port Said,EG,76.98,clear sky,31.2565,32.2841,Aracan Hotel
173,El Alto,PE,76.66,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
174,Barmer,IN,79.25,clear sky,25.75,71.3833,Jain Dharamshala
178,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
179,Bengkulu,ID,75.79,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
181,Riohacha,CO,86.11,broken clouds,11.5444,-72.9072,Hotel Taroa
183,Buala,SB,82.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
186,Kavaratti,IN,82.65,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
190,Turbo,CO,89.73,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
