City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,2022-04-17 21:45:58,-33.6971,-53.4616,62.83,75,100,7.05,overcast clouds
1,Puerto Ayora,EC,2022-04-17 21:45:59,-0.7393,-90.3518,78.76,89,73,9.62,light rain
2,Tuktoyaktuk,CA,2022-04-17 21:45:59,69.4541,-133.0374,17.6,57,100,11.5,overcast clouds
3,Okakarara,NA,2022-04-17 21:46:00,-20.5833,17.4333,70.86,58,84,4.23,broken clouds
4,Camacha,PT,2022-04-17 21:46:00,33.0833,-16.3333,60.22,77,40,9.22,scattered clouds
5,Vaini,TO,2022-04-17 21:46:00,-21.2,-175.2,82.56,83,75,4.61,broken clouds
6,Vila,PT,2022-04-17 21:46:01,42.0304,-8.1588,47.28,93,1,5.23,clear sky
7,Rikitea,PF,2022-04-17 21:46:01,-23.1203,-134.9692,78.49,67,1,11.74,clear sky
8,Vestmannaeyjar,IS,2022-04-17 21:40:45,63.4427,-20.2734,42.85,70,25,5.66,scattered clouds
9,Mount Isa,AU,2022-04-17 21:46:02,-20.7333,139.5,62.37,55,1,0.0,clear sky
10,Dikson,RU,2022-04-17 21:46:02,73.5069,80.5464,-8.73,100,90,4.05,overcast clouds
11,Hermanus,ZA,2022-04-17 21:46:02,-34.4187,19.2345,62.8,87,52,9.98,broken clouds
12,Dunedin,NZ,2022-04-17 21:46:03,-45.8742,170.5036,58.8,57,0,7.0,clear sky
13,Arraial Do Cabo,BR,2022-04-17 21:46:03,-22.9661,-42.0278,73.36,78,0,10.36,clear sky
14,Nioro,GM,2022-04-17 21:46:03,13.35,-15.75,79.92,44,4,10.67,clear sky
15,Rock Springs,US,2022-04-17 21:46:04,41.5875,-109.2029,49.05,32,100,27.63,overcast clouds
16,Georgetown,MY,2022-04-17 21:43:57,5.4112,100.3354,82.33,99,20,2.3,few clouds
17,Hithadhoo,MV,2022-04-17 21:46:04,-0.6,73.0833,82.51,76,44,6.2,scattered clouds
18,Castro,BR,2022-04-17 21:46:05,-24.7911,-50.0119,55.53,80,3,3.76,clear sky
19,Port Elizabeth,ZA,2022-04-17 21:42:18,-33.918,25.5701,64.69,96,75,9.22,broken clouds
20,Cape Town,ZA,2022-04-17 21:46:05,-33.9258,18.4232,63.01,79,0,18.41,clear sky
21,Busselton,AU,2022-04-17 21:46:06,-33.65,115.3333,54.66,76,45,2.35,scattered clouds
22,Kalmar,SE,2022-04-17 21:46:06,56.6616,16.3616,38.97,100,35,5.01,scattered clouds
23,Albany,US,2022-04-17 21:45:33,42.6001,-73.9662,47.17,51,78,8.99,broken clouds
24,Ponta Do Sol,PT,2022-04-17 21:46:06,32.6667,-17.1,68.63,46,100,12.46,overcast clouds
25,Jamestown,US,2022-04-17 21:41:18,42.097,-79.2353,43.05,40,0,6.91,clear sky
26,Tortoli,IT,2022-04-17 21:46:07,39.9256,9.6572,53.42,43,0,20.71,clear sky
27,Labytnangi,RU,2022-04-17 21:46:07,66.6572,66.4183,13.37,91,98,5.66,overcast clouds
28,Half Moon Bay,US,2022-04-17 21:46:08,37.4636,-122.4286,68.88,60,0,18.41,clear sky
29,Punta Arenas,CL,2022-04-17 21:46:08,-53.15,-70.9167,46.51,93,75,10.36,light rain
30,Coihaique,CL,2022-04-17 21:46:08,-45.5752,-72.0662,56.01,67,100,3.44,overcast clouds
31,Marzuq,YE,2022-04-17 21:46:09,14.4,46.4667,73.31,50,4,5.19,clear sky
32,Kamenka,RU,2022-04-17 21:46:09,51.3223,42.7678,49.17,87,100,7.99,overcast clouds
33,Severo-Kurilsk,RU,2022-04-17 21:46:09,50.6789,156.125,31.75,76,87,6.96,overcast clouds
34,Mandalgovi,MN,2022-04-17 21:42:11,45.7625,106.2708,37.08,42,1,8.48,clear sky
35,Kapaa,US,2022-04-17 21:46:10,22.0752,-159.319,78.78,89,75,17.27,light rain
36,Lebu,CL,2022-04-17 21:46:05,-37.6167,-73.65,55.76,83,100,9.13,overcast clouds
37,Tasiilaq,GL,2022-04-17 21:46:10,65.6145,-37.6368,33.01,98,100,10.76,light snow
38,Khatanga,RU,2022-04-17 21:46:11,71.9667,102.5,4.89,95,98,12.19,overcast clouds
